Estado - Sigla;DIESEL;DIESEL S10;ETANOL;GASOLINA;GNV
AC;4.43;4.5;4.02;4.92;0.0
AL;3.75;3.82;3.56;4.58;3.43
AM;3.76;3.86;3.41;4.3;3.17
AP;4.12;4.61;3.83;3.97;0.0
BA;3.58;3.66;3.46;4.57;3.14
CE;3.78;3.81;3.67;4.54;3.56
DF;3.71;3.83;3.28;4.28;3.28
ES;3.53;3.62;3.61;4.47;3.3
GO;3.57;3.7;2.99;4.5;3.89
MA;3.63;3.66;3.73;4.36;3.6
MG;3.6;3.71;3.09;4.72;3.52
MS;3.61;3.72;3.45;4.2;2.92
MT;3.92;3.98;2.65;4.48;3.7
PA;3.86;3.89;3.86;4.61;0.0
PB;3.58;3.62;3.27;4.24;3.72
PE;3.67;3.55;3.39;4.36;2.77
PI;3.64;3.72;3.49;4.57;0.0
PR;3.35;3.43;2.97;4.25;3.15
RJ;3.54;3.69;3.8;4.87;3.2
RN;3.63;3.77;3.5;4.41;3.56
RO;3.79;3.88;3.95;4.56;0.0
RR;3.58;3.65;3.76;4.09;0.0
RS;3.45;3.59;4.11;4.57;3.41
SC;3.43;3.55;3.56;4.12;2.91
SE;3.57;3.68;3.51;4.39;3.69
SP;3.43;3.55;2.74;4.16;2.89
TO;3.56;3.61;3.74;4.55;3.5
