Country,Reported number of people receiving ART,Estimated number of people living with HIV,Estimated ART coverage among people living with HIV (%),Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region
Afghanistan,920,7200[4100–11000],13[7–20],7200,4100,11000,13,7,20,Eastern Mediterranean
Albania,580,Nodata,Nodata,,,,,,,Europe
Algeria,12800,16000[15000–17000],81[75–86],16000,15000,17000,81,75,86,Africa
Angola,88700,330000[290000–390000],27[23–31],330000,290000,390000,27,23,31,Africa
Argentina,85500,140000[130000–150000],61[55–67],140000,130000,150000,61,55,67,Americas
Armenia,1900,3500[3000–4400],53[44–65],3500,3000,4400,53,44,65,Europe
Australia,22800,28000[23000–31000],83[70–93],28000,23000,31000,83,70,93,Western Pacific
Austria,Nodata,Nodata,Nodata,,,,,,,Europe
Azerbaijan,4400,Nodata,Nodata,,,,,,,Europe
Bahamas,3100,6000[5300–6700],52[45–58],6000,5300,6700,52,45,58,Americas
Bahrain,Nodata,Nodata,Nodata,,,,,,,Eastern Mediterranean
Bangladesh,3000,14000[12000–16000],22[19–25],14000,12000,16000,22,19,25,South-East Asia
Barbados,1500,3000[2700–3400],50[44–57],3000,2700,3400,50,44,57,Americas
Belarus,15500,27000[22000–34000],59[48–75],27000,22000,34000,59,48,75,Europe
Belgium,Nodata,Nodata,Nodata,,,,,,,Europe
Belize,1400,4900[4400–5400],28[26–31],4900,4400,5400,28,26,31,Americas
Benin,44200,73000[48000–120000],61[40–95],73000,48000,120000,61,40,95,Africa
Bhutan,480,1300[700–2700],37[20–78],1300,700,2700,37,20,78,South-East Asia
Bolivia (Plurinational State of),9900,22000[20000–24000],44[40–48],22000,20000,24000,44,40,48,Americas
Bosnia and Herzegovina,220,500[500–500],67[57–78],500,500,500,67,57,78,Europe
Botswana,307000,370000[330000–400000],83[75–90],370000,330000,400000,83,75,90,Africa
Brazil,593000,900000[690000–1100000],66[51–82],900000,690000,1100000,66,51,82,Americas
Brunei Darussalam,150,Nodata,Nodata,,,,,,,Western Pacific
Bulgaria,1500,3500[3000–4100],41[35–48],3500,3000,4100,41,35,48,Europe
Burkina Faso,59300,96000[78000–120000],62[50–75],96000,78000,120000,62,50,75,Africa
Burundi,65500,82000[71000–97000],80[69–94],82000,71000,97000,80,69,94,Africa
Cabo Verde,2200,2400[2100–2900],89[75–95],2400,2100,2900,89,75,95,Africa
Cambodia,59500,73000[64000–84000],81[71–93],73000,64000,84000,81,71,93,Western Pacific
Cameroon,281000,540000[470000–590000],52[46–57],540000,470000,590000,52,46,57,Africa
Canada,Nodata,Nodata,Nodata,,,,,,,Americas
Central African Republic,39600,110000[90000–140000],36[30–45],110000,90000,140000,36,30,45,Africa
Chad,61400,120000[94000–150000],51[40–63],120000,94000,150000,51,40,63,Africa
Chile,45100,71000[63000–78000],63[56–70],71000,63000,78000,63,56,70,Americas
China,718000,Nodata,Nodata,,,,,,,Western Pacific
Colombia,113000,160000[130000–180000],73[60–86],160000,130000,180000,73,60,86,Americas
Comoros,100,200[100–500],79[39–95],200,100,500,79,39,95,Africa
Congo,31200,89000[69000–120000],35[27–46],89000,69000,120000,35,27,46,Americas
Costa Rica,7200,15000[13000–17000],49[44–54],15000,13000,17000,49,44,54,Americas
Côte d'Ivoire,252000,460000[360000–580000],55[44–70],460000,360000,580000,55,44,70,Africa
Croatia,1200,1600[1400–1700],75[67–83],1600,1400,1700,75,67,83,Europe
Cuba,21900,31000[24000–37000],72[55–85],31000,24000,37000,72,55,85,Americas
Cyprus,Nodata,Nodata,Nodata,,,,,,,Europe
Czechia,2600,4400[3700–5000],60[51–68],4400,3700,5000,60,51,68,Europe
Democratic People's Republic of Korea,Nodata,Nodata,Nodata,,,,,,,Western Pacific
Democratic Republic of the Congo,256000,450000[370000–530000],57[47–67],450000,370000,530000,57,47,67,Africa
Denmark,5500,6200[5600–7000],89[79–95],6200,5600,7000,89,79,95,Europe
Djibouti,2700,8800[7100–11000],30[25–38],8800,7100,11000,30,25,38,Eastern Mediterranean
Dominican Republic,39000,70000[54000–92000],56[43–73],70000,54000,92000,56,43,73,Americas
Ecuador,25100,44000[29000–71000],57[38–93],44000,29000,71000,57,38,93,Americas
Egypt,6700,22000[20000–24000],31[28–33],22000,20000,24000,31,28,33,Eastern Mediterranean
El Salvador,11900,25000[21000–30000],47[39–55],25000,21000,30000,47,39,55,Americas
Equatorial Guinea,21400,62000[50000–81000],34[27–44],62000,50000,81000,34,27,44,Africa
Eritrea,8900,18000[13000–24000],51[38–68],18000,13000,24000,51,38,68,Africa
Estonia,4300,7400[6600–8200],59[53–66],7400,6600,8200,59,53,66,Europe
Eswatini,177000,210000[190000–220000],86[80–94],210000,190000,220000,86,80,94,Africa
Ethiopia,450000,690000[530000–900000],65[50–85],690000,530000,900000,65,50,85,Africa
Fiji,Nodata,Nodata,Nodata,,,,,,,Western Pacific
Finland,3000,4000[3100–4900],76[60–95],4000,3100,4900,76,60,95,Europe
France,148000,180000[150000–210000],83[69–95],180000,150000,210000,83,69,95,Europe
Gabon,35600,53000[43000–67000],67[54–85],53000,43000,67000,67,54,85,Africa
Gambia,7500,26000[21000–33000],29[24–38],26000,21000,33000,29,24,38,Africa
Georgia,4600,9400[8100–11000],49[42–57],9400,8100,11000,49,42,57,Europe
Germany,69900,87000[71000–100000],80[65–93],87000,71000,100000,80,65,93,Europe
Ghana,113000,330000[280000–390000],34[28–39],330000,280000,390000,34,28,39,Africa
Greece,Nodata,Nodata,Nodata,,,,,,,Europe
Guatemala,20200,47000[43000–51000],43[40–47],47000,43000,51000,43,40,47,Americas
Guinea,48600,120000[100000–140000],40[34–48],120000,100000,140000,40,34,48,Africa
Guinea-Bissau,14600,44000[39000–49000],33[29–37],44000,39000,49000,33,29,37,Africa
Guyana,5600,8200[7200–9400],68[60–78],8200,7200,9400,68,60,78,Americas
Haiti,91500,160000[140000–180000],58[52–65],160000,140000,180000,58,52,65,Americas
Honduras,11700,23000[18000–28000],50[40–61],23000,18000,28000,50,40,61,Americas
Hungary,2000,3700[3200–4200],56[48–63],3700,3200,4200,56,48,63,Europe
Iceland,250,500[500–500],79[71–87],500,500,500,79,71,87,Europe
India,Nodata,Nodata,Nodata,,,,,,,South-East Asia
Indonesia,108000,640000[550000–750000],17[15–20],640000,550000,750000,17,15,20,South-East Asia
