Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Afghanistan, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Albania, 2018,na,,,,Europe
Algeria, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Angola, 2018,2.0[1.7–2.3],2.0,1.7,2.3,Africa
Argentina, 2018,0.4[0.4–0.4],0.4,0.4,0.4,Americas
Armenia, 2018,0.2[0.1–0.2],0.2,0.1,0.2,Europe
Australia, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Austria, 2018,na,,,,Europe
Azerbaijan, 2018,na,,,,Europe
Bahamas, 2018,1.8[1.5–1.9],1.8,1.5,1.9,Americas
Bahrain, 2018,na,,,,Eastern Mediterranean
Bangladesh, 2018,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Barbados, 2018,1.5[1.3–1.7],1.5,1.3,1.7,Americas
Belarus, 2018,0.5[0.4–0.6],0.5,0.4,0.6,Europe
Belgium, 2018,na,,,,Europe
Belize, 2018,1.9[1.7–2.1],1.9,1.7,2.1,Americas
Benin, 2018,1.0[0.7–1.7],1.0,0.7,1.7,Africa
Bhutan, 2018,0.3[0.1–0.5],0.3,0.1,0.5,South-East Asia
Bolivia (Plurinational State of), 2018,0.3[0.3–0.3],0.3,0.3,0.3,Americas
Bosnia and Herzegovina, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Botswana, 2018,20.3[17.3–21.8],20.3,17.3,21.8,Africa
Brazil, 2018,0.5[0.4–0.7],0.5,0.4,0.7,Americas
Brunei Darussalam, 2018,na,,,,Western Pacific
Bulgaria, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Burkina Faso, 2018,0.7[0.6–0.9],0.7,0.6,0.9,Africa
Burundi, 2018,1.0[0.9–1.2],1.0,0.9,1.2,Africa
Cabo Verde, 2018,0.6[0.5–0.7],0.6,0.5,0.7,Africa
Cambodia, 2018,0.5[0.5–0.6],0.5,0.5,0.6,Western Pacific
Cameroon, 2018,3.6[3.1–4.0],3.6,3.1,4.0,Africa
Canada, 2018,na,,,,Americas
Central African Republic, 2018,3.6[2.9–4.5],3.6,2.9,4.5,Africa
Chad, 2018,1.3[1.0–1.7],1.3,1.0,1.7,Africa
Chile, 2018,0.5[0.5–0.6],0.5,0.5,0.6,Americas
China, 2018,na,,,,Western Pacific
Colombia, 2018,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Comoros, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Congo, 2018,2.6[2.0–3.5],2.6,2.0,3.5,Americas
Costa Rica, 2018,0.4[0.4–0.5],0.4,0.4,0.5,Americas
Côte d'Ivoire, 2018,2.6[2.0–3.3],2.6,2.0,3.3,Africa
Croatia, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Cuba, 2018,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Cyprus, 2018,na,,,,Europe
Czechia, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Democratic People's Republic of Korea, 2018,na,,,,Western Pacific
Democratic Republic of the Congo, 2018,0.8[0.6–0.9],0.8,0.6,0.9,Africa
Denmark, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Djibouti, 2018,1.2[1.0–1.5],1.2,1.0,1.5,Eastern Mediterranean
Dominican Republic, 2018,0.9[0.7–1.3],0.9,0.7,1.3,Americas
Ecuador, 2018,0.4[0.2–0.6],0.4,0.2,0.6,Americas
Egypt, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
El Salvador, 2018,0.6[0.5–0.7],0.6,0.5,0.7,Americas
Equatorial Guinea, 2018,7.1[5.6–9.2],7.1,5.6,9.2,Africa
Eritrea, 2018,0.7[0.5–0.9],0.7,0.5,0.9,Africa
Estonia, 2018,0.9[0.7–0.9],0.9,0.7,0.9,Europe
Eswatini, 2018,27.3[25.1–29.0],27.3,25.1,29.0,Africa
Ethiopia, 2018,1.0[0.7–1.4],1.0,0.7,1.4,Africa
Fiji, 2018,na,,,,Western Pacific
Finland, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
France, 2018,0.3[0.3–0.4],0.3,0.3,0.4,Europe
Gabon, 2018,3.8[2.9–4.9],3.8,2.9,4.9,Africa
Gambia, 2018,1.9[1.6–2.5],1.9,1.6,2.5,Africa
Georgia, 2018,0.4[0.3–0.4],0.4,0.3,0.4,Europe
Germany, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Ghana, 2018,1.7[1.4–2.0],1.7,1.4,2.0,Africa
Greece, 2018,na,,,,Europe
Guatemala, 2018,0.4[0.3–0.4],0.4,0.3,0.4,Americas
Guinea, 2018,1.4[1.2–1.7],1.4,1.2,1.7,Africa
Guinea-Bissau, 2018,3.5[3.0–4.0],3.5,3.0,4.0,Africa
Guyana, 2018,1.4[1.3–1.6],1.4,1.3,1.6,Americas
Haiti, 2018,2.0[1.8–2.3],2.0,1.8,2.3,Americas
Honduras, 2018,0.3[0.3–0.4],0.3,0.3,0.4,Americas
Hungary, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Iceland, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
India, 2018,na,,,,South-East Asia
Indonesia, 2018,0.4[0.4–0.5],0.4,0.4,0.5,South-East Asia
Iran (Islamic Republic of), 2018,0.1[0.1–0.2],0.1,0.1,0.2,Eastern Mediterranean
Ireland, 2018,0.2[0.2–0.2],0.2,0.2,0.2,Europe
Israel, 2018,0.2[0.1–0.2],0.2,0.1,0.2,Europe
Italy, 2018,0.3[0.2–0.3],0.3,0.2,0.3,Europe
Jamaica, 2018,1.9[1.6–2.1],1.9,1.6,2.1,Americas
Japan, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Jordan, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Kazakhstan, 2018,0.2[0.2–0.2],0.2,0.2,0.2,Europe
Kenya, 2018,4.7[4.0–5.7],4.7,4.0,5.7,Africa
Kuwait, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Kyrgyzstan, 2018,0.2[0.2–0.3],0.2,0.2,0.3,Europe
Lao People's Democratic Republic, 2018,0.3[0.2–0.3],0.3,0.2,0.3,Western Pacific
Latvia, 2018,0.4[0.4–0.5],0.4,0.4,0.5,Europe
Lebanon, 2018,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Lesotho, 2018,23.6[21.2–24.7],23.6,21.2,24.7,Africa
Liberia, 2018,1.3[1.1–1.4],1.3,1.1,1.4,Africa
Libya, 2018,0.2[0.2–0.2],0.2,0.2,0.2,Eastern Mediterranean
Lithuania, 2018,na,,,,Europe
Luxembourg, 2018,0.3[0.2–0.3],0.3,0.2,0.3,Europe
Madagascar, 2018,0.3[0.2–0.4],0.3,0.2,0.4,Africa
Malawi, 2018,9.2[8.0–10.0],9.2,8.0,10.0,Africa
