Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Afghanistan, 2018,7200[4100–11000],7200,4100,11000,Eastern Mediterranean
Albania, 2018,na,,,,Europe
Algeria, 2018,16000[15000–17000],16000,15000,17000,Africa
Angola, 2018,330000[290000–390000],330000,290000,390000,Africa
Argentina, 2018,140000[130000–150000],140000,130000,150000,Americas
Armenia, 2018,3500[3000–4400],3500,3000,4400,Europe
Australia, 2018,28000[23000–31000],28000,23000,31000,Western Pacific
Austria, 2018,na,,,,Europe
Azerbaijan, 2018,na,,,,Europe
Bahamas, 2018,6000[5300–6700],6000,5300,6700,Americas
Bahrain, 2018,na,,,,Eastern Mediterranean
Bangladesh, 2018,14000[12000–16000],14000,12000,16000,South-East Asia
Barbados, 2018,3000[2700–3400],3000,2700,3400,Americas
Belarus, 2018,27000[22000–34000],27000,22000,34000,Europe
Belgium, 2018,na,,,,Europe
Belize, 2018,4900[4400–5400],4900,4400,5400,Americas
Benin, 2018,73000[48000–120000],73000,48000,120000,Africa
Bhutan, 2018,1300[700–2700],1300,700,2700,South-East Asia
Bolivia (Plurinational State of), 2018,22000[20000–24000],22000,20000,24000,Americas
Bosnia and Herzegovina, 2018,500[500–500],500,500,500,Europe
Botswana, 2018,370000[330000–400000],370000,330000,400000,Africa
Brazil, 2018,900000[690000–1100000],900000,690000,1100000,Americas
Brunei Darussalam, 2018,na,,,,Western Pacific
Bulgaria, 2018,3500[3000–4100],3500,3000,4100,Europe
Burkina Faso, 2018,96000[78000–120000],96000,78000,120000,Africa
Burundi, 2018,82000[71000–97000],82000,71000,97000,Africa
Cabo Verde, 2018,2400[2100–2900],2400,2100,2900,Africa
Cambodia, 2018,73000[64000–84000],73000,64000,84000,Western Pacific
Cameroon, 2018,540000[470000–590000],540000,470000,590000,Africa
Canada, 2018,na,,,,Americas
Central African Republic, 2018,110000[90000–140000],110000,90000,140000,Africa
Chad, 2018,120000[94000–150000],120000,94000,150000,Africa
Chile, 2018,71000[63000–78000],71000,63000,78000,Americas
China, 2018,na,,,,Western Pacific
Colombia, 2018,160000[130000–180000],160000,130000,180000,Americas
Comoros, 2018,200[100–500],200,100,500,Africa
Congo, 2018,89000[69000–120000],89000,69000,120000,Americas
Costa Rica, 2018,15000[13000–17000],15000,13000,17000,Americas
Côte d'Ivoire, 2018,460000[360000–580000],460000,360000,580000,Africa
Croatia, 2018,1600[1400–1700],1600,1400,1700,Europe
Cuba, 2018,31000[24000–37000],31000,24000,37000,Americas
Cyprus, 2018,na,,,,Europe
Czechia, 2018,4400[3700–5000],4400,3700,5000,Europe
Democratic People's Republic of Korea, 2018,na,,,,Western Pacific
Democratic Republic of the Congo, 2018,450000[370000–530000],450000,370000,530000,Africa
Denmark, 2018,6200[5600–7000],6200,5600,7000,Europe
Djibouti, 2018,8800[7100–11000],8800,7100,11000,Eastern Mediterranean
Dominican Republic, 2018,70000[54000–92000],70000,54000,92000,Americas
Ecuador, 2018,44000[29000–71000],44000,29000,71000,Americas
Egypt, 2018,22000[20000–24000],22000,20000,24000,Eastern Mediterranean
El Salvador, 2018,25000[21000–30000],25000,21000,30000,Americas
Equatorial Guinea, 2018,62000[50000–81000],62000,50000,81000,Africa
Eritrea, 2018,18000[13000–24000],18000,13000,24000,Africa
Estonia, 2018,7400[6600–8200],7400,6600,8200,Europe
Eswatini, 2018,210000[190000–220000],210000,190000,220000,Africa
Ethiopia, 2018,690000[530000–900000],690000,530000,900000,Africa
Fiji, 2018,na,,,,Western Pacific
Finland, 2018,4000[3100–4900],4000,3100,4900,Europe
France, 2018,180000[150000–210000],180000,150000,210000,Europe
Gabon, 2018,53000[43000–67000],53000,43000,67000,Africa
Gambia, 2018,26000[21000–33000],26000,21000,33000,Africa
Georgia, 2018,9400[8100–11000],9400,8100,11000,Europe
Germany, 2018,87000[71000–100000],87000,71000,100000,Europe
Ghana, 2018,330000[280000–390000],330000,280000,390000,Africa
Greece, 2018,na,,,,Europe
Guatemala, 2018,47000[43000–51000],47000,43000,51000,Americas
Guinea, 2018,120000[100000–140000],120000,100000,140000,Africa
Guinea-Bissau, 2018,44000[39000–49000],44000,39000,49000,Africa
Guyana, 2018,8200[7200–9400],8200,7200,9400,Americas
Haiti, 2018,160000[140000–180000],160000,140000,180000,Americas
Honduras, 2018,23000[18000–28000],23000,18000,28000,Americas
Hungary, 2018,3700[3200–4200],3700,3200,4200,Europe
Iceland, 2018,500[500–500],500,500,500,Europe
India, 2018,na,,,,South-East Asia
Indonesia, 2018,640000[550000–750000],640000,550000,750000,South-East Asia
Iran (Islamic Republic of), 2018,61000[34000–120000],61000,34000,120000,Eastern Mediterranean
Ireland, 2018,7200[6200–8000],7200,6200,8000,Europe
Israel, 2018,9000[8000–10000],9000,8000,10000,Europe
Italy, 2018,130000[110000–140000],130000,110000,140000,Europe
Jamaica, 2018,40000[35000–46000],40000,35000,46000,Americas
Japan, 2018,30000[25000–34000],30000,25000,34000,Western Pacific
Jordan, 2018,500[500–500],500,500,500,Eastern Mediterranean
Kazakhstan, 2018,26000[24000–27000],26000,24000,27000,Europe
Kenya, 2018,1600000[1300000–1900000],1600000,1300000,1900000,Africa
Kuwait, 2018,640[580–700],640,580,700,Eastern Mediterranean
Kyrgyzstan, 2018,8500[6500–12000],8500,6500,12000,Europe
Lao People's Democratic Republic, 2018,12000[11000–14000],12000,11000,14000,Western Pacific
Latvia, 2018,5300[4800–5900],5300,4800,5900,Europe
Lebanon, 2018,2500[2200–2800],2500,2200,2800,Eastern Mediterranean
Lesotho, 2018,340000[320000–360000],340000,320000,360000,Africa
Liberia, 2018,39000[36000–44000],39000,36000,44000,Africa
Libya, 2018,9200[8300–10000],9200,8300,10000,Eastern Mediterranean
Lithuania, 2018,na,,,,Europe
Luxembourg, 2018,1200[1000–1300],1200,1000,1300,Europe
Madagascar, 2018,39000[30000–55000],39000,30000,55000,Africa
Malawi, 2018,1000000[940000–1100000],1000000,940000,1100000,Africa
Malaysia, 2018,87000[77000–98000],87000,77000,98000,Western Pacific
Maldives, 2018,na,,,,South-East Asia
Mali, 2018,150000[120000–190000],150000,120000,190000,Africa
Malta, 2018,na,,,,Europe
Mauritania, 2018,5600[4500–7200],5600,4500,7200,Africa
Mauritius, 2018,13000[10000–15000],13000,10000,15000,Africa
Mexico, 2018,230000[200000–270000],230000,200000,270000,Americas
Mongolia, 2018,600[530–670],600,530,670,Western Pacific
Montenegro, 2018,500[500–500],500,500,500,Europe
Morocco, 2018,21000[17000–28000],21000,17000,28000,Eastern Mediterranean
Mozambique, 2018,2200000[1700000–2700000],2200000,1700000,2700000,Africa
Myanmar, 2018,240000[210000–270000],240000,210000,270000,South-East Asia
Namibia, 2018,200000[190000–220000],200000,190000,220000,Africa
Nepal, 2018,30000[26000–34000],30000,26000,34000,South-East Asia
Netherlands, 2018,na,,,,Europe
New Zealand, 2018,3600[3100–4200],3600,3100,4200,Western Pacific
Nicaragua, 2018,9400[7600–12000],9400,7600,12000,Americas
Niger, 2018,36000[30000–43000],36000,30000,43000,Africa
Nigeria, 2018,1900000[1400000–2600000],1900000,1400000,2600000,Africa
Norway, 2018,5800[5200–6300],5800,5200,6300,Europe
Oman, 2018,3200[2900–3600],3200,2900,3600,Eastern Mediterranean
Pakistan, 2018,160000[140000–190000],160000,140000,190000,Eastern Mediterranean
Panama, 2018,26000[24000–29000],26000,24000,29000,Americas
Papua New Guinea, 2018,45000[41000–50000],45000,41000,50000,Western Pacific
Paraguay, 2018,21000[16000–31000],21000,16000,31000,Americas
Peru, 2018,79000[58000–110000],79000,58000,110000,Americas
Philippines, 2018,77000[65000–90000],77000,65000,90000,Western Pacific
Poland, 2018,na,,,,Europe
Portugal, 2018,41000[36000–46000],41000,36000,46000,Europe
Qatar, 2018,na,,,,Eastern Mediterranean
Republic of Korea, 2018,na,,,,Western Pacific
Republic of Moldova, 2018,17000[14000–23000],17000,14000,23000,Europe
Republic of North Macedonia, 2018,500[500–520],500,500,520,Europe
Romania, 2018,18000[16000–20000],18000,16000,20000,Europe
Russian Federation, 2018,na,,,,Europe
Rwanda, 2018,220000[200000–250000],220000,200000,250000,Africa
Saudi Arabia, 2018,na,,,,Eastern Mediterranean
Senegal, 2018,42000[37000–47000],42000,37000,47000,Africa
Serbia, 2018,3000[2200–3800],3000,2200,3800,Europe
Sierra Leone, 2018,70000[56000–86000],70000,56000,86000,Africa
Singapore, 2018,7900[7200–8700],7900,7200,8700,Western Pacific
Slovakia, 2018,1200[910–1900],1200,910,1900,Europe
Slovenia, 2018,na,,,,Europe
Somalia, 2018,11000[8400–15000],11000,8400,15000,Eastern Mediterranean
South Africa, 2018,7700000[7100000–8300000],7700000,7100000,8300000,Africa
South Sudan, 2018,190000[140000–240000],190000,140000,240000,Africa
Spain, 2018,150000[130000–170000],150000,130000,170000,Europe
Sri Lanka, 2018,3500[3100–4000],3500,3100,4000,South-East Asia
Sudan, 2018,59000[26000–110000],59000,26000,110000,Eastern Mediterranean
Suriname, 2018,5600[3700–8100],5600,3700,8100,Americas
Sweden, 2018,na,,,,Europe
Switzerland, 2018,na,,,,Europe
Syrian Arab Republic, 2018,660[590–720],660,590,720,Eastern Mediterranean
Tajikistan, 2018,13000[11000–16000],13000,11000,16000,Europe
Thailand, 2018,480000[420000–550000],480000,420000,550000,South-East Asia
Timor-Leste, 2018,na,,,,South-East Asia
Togo, 2018,110000[100000–120000],110000,100000,120000,Africa
Trinidad and Tobago, 2018,na,,,,Americas
Tunisia, 2018,2800[1700–4400],2800,1700,4400,Eastern Mediterranean
Turkey, 2018,na,,,,Europe
Turkmenistan, 2018,na,,,,Europe
Uganda, 2018,1400000[1300000–1500000],1400000,1300000,1500000,Africa
Ukraine, 2018,240000[220000–260000],240000,220000,260000,Europe
United Arab Emirates, 2018,na,,,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland, 2018,na,,,,Europe
United Republic of Tanzania, 2018,1600000[1400000–1700000],1600000,1400000,1700000,Africa
United States of America, 2018,na,,,,Americas
Uruguay, 2018,14000[9900–19000],14000,9900,19000,Americas
Uzbekistan, 2018,52000[48000–56000],52000,48000,56000,Europe
Venezuela (Bolivarian Republic of), 2018,120000[100000–130000],120000,100000,130000,Americas
Viet Nam, 2018,230000[200000–260000],230000,200000,260000,Western Pacific
Yemen, 2018,11000[6500–18000],11000,6500,18000,Eastern Mediterranean
Zambia, 2018,1200000[1100000–1400000],1200000,1100000,1400000,Africa
Zimbabwe, 2018,1300000[1100000–1500000],1300000,1100000,1500000,Africa
Afghanistan, 2010,4200[2500–6200],4200,2500,6200,Eastern Mediterranean
Albania, 2010,na,,,,Europe
Algeria, 2010,7100[6600–7600],7100,6600,7600,Africa
Angola, 2010,220000[180000–250000],220000,180000,250000,Africa
Argentina, 2010,110000[96000–120000],110000,96000,120000,Americas
Armenia, 2010,3300[2800–4100],3300,2800,4100,Europe
Australia, 2010,21000[17000–23000],21000,17000,23000,Western Pacific
Austria, 2010,na,,,,Europe
Azerbaijan, 2010,na,,,,Europe
Bahamas, 2010,5800[5100–6600],5800,5100,6600,Americas
Bahrain, 2010,na,,,,Eastern Mediterranean
Bangladesh, 2010,7700[6600–8800],7700,6600,8800,South-East Asia
Barbados, 2010,2300[2100–2600],2300,2100,2600,Americas
Belarus, 2010,12000[10000–15000],12000,10000,15000,Europe
Belgium, 2010,na,,,,Europe
Belize, 2010,3700[3400–4100],3700,3400,4100,Americas
Benin, 2010,61000[41000–98000],61000,41000,98000,Africa
Bhutan, 2010,1300[590–2700],1300,590,2700,South-East Asia
Bolivia (Plurinational State of), 2010,23000[20000–25000],23000,20000,25000,Americas
Bosnia and Herzegovina, 2010,200[200–200],200,200,200,Europe
Botswana, 2010,340000[300000–360000],340000,300000,360000,Africa
Brazil, 2010,670000[520000–830000],670000,520000,830000,Americas
Brunei Darussalam, 2010,na,,,,Western Pacific
Bulgaria, 2010,1700[1600–1900],1700,1600,1900,Europe
Burkina Faso, 2010,110000[88000–130000],110000,88000,130000,Africa
Burundi, 2010,93000[79000–110000],93000,79000,110000,Africa
Cabo Verde, 2010,2100[1700–2600],2100,1700,2600,Africa
Cambodia, 2010,79000[68000–93000],79000,68000,93000,Western Pacific
Cameroon, 2010,520000[460000–560000],520000,460000,560000,Africa
Canada, 2010,na,,,,Americas
Central African Republic, 2010,140000[110000–160000],140000,110000,160000,Africa
Chad, 2010,99000[80000–120000],99000,80000,120000,Africa
Chile, 2010,39000[34000–43000],39000,34000,43000,Americas
China, 2010,na,,,,Western Pacific
Colombia, 2010,130000[100000–150000],130000,100000,150000,Americas
Comoros, 2010,200[100–500],200,100,500,Africa
Congo, 2010,82000[69000–95000],82000,69000,95000,Americas
Costa Rica, 2010,9300[8400–10000],9300,8400,10000,Americas
Côte d'Ivoire, 2010,480000[380000–610000],480000,380000,610000,Africa
Croatia, 2010,1000[930–1100],1000,930,1100,Europe
Cuba, 2010,17000[13000–21000],17000,13000,21000,Americas
Cyprus, 2010,na,,,,Europe
Czechia, 2010,1800[1500–2000],1800,1500,2000,Europe
Democratic People's Republic of Korea, 2010,na,,,,Western Pacific
Democratic Republic of the Congo, 2010,480000[400000–560000],480000,400000,560000,Africa
Denmark, 2010,5500[5000–6200],5500,5000,6200,Europe
Djibouti, 2010,9400[7700–11000],9400,7700,11000,Eastern Mediterranean
Dominican Republic, 2010,72000[54000–91000],72000,54000,91000,Americas
Ecuador, 2010,34000[22000–57000],34000,22000,57000,Americas
Egypt, 2010,6800[6100–7400],6800,6100,7400,Eastern Mediterranean
