Country,Received Antiretrovirals,Needing antiretrovirals,Percentage Recieved,Needing antiretrovirals_median,Needing antiretrovirals_min,Needing antiretrovirals_max,Percentage Recieved_median,Percentage Recieved_min,Percentage Recieved_max,WHO Region
Afghanistan,20,200[100–500],11[7–18],200,100,500,11,7,18,Eastern Mediterranean
Albania,No data,Nodata,Nodata,,,,,,,Europe
Algeria,320,500[500–500],74[69–78],500,500,500,74,69,78,Africa
Angola,9600,25000[19000–32000],38[29–48],25000,19000,32000,38,29,48,Africa
Argentina,1800,1800[1600–2000],95[85–95],1800,1600,2000,95,85,95,Americas
Armenia,50,Nodata,Nodata,,,,,,,Europe
Australia,No data,100[100–100],Nodata,100,100,100,,,,Western Pacific
Austria,No data,Nodata,Nodata,,,,,,,Europe
Azerbaijan,No data,Nodata,Nodata,,,,,,,Europe
Bahamas,50,100[100–200],58[51–65],100,100,200,58,51,65,Americas
Bahrain,0,Nodata,Nodata,,,,,,,Eastern Mediterranean
Bangladesh,40,200[200–200],28[24–33],200,200,200,28,24,33,South-East Asia
Barbados,20,Nodata,Nodata,,,,,,,Americas
Belarus,230,500[200–500],90[67–95],500,200,500,90,67,95,Europe
Belgium,No data,Nodata,Nodata,,,,,,,Europe
Belize,40,100[100–200],44[39–49],100,100,200,44,39,49,Americas
Benin,4600,2600[1600–4300],95[95–95],2600,1600,4300,95,95,95,Africa
Bhutan,No data,Nodata,Nodata,,,,,,,South-East Asia
Bolivia (Plurinational State of),350,500[500–500],95[95–95],500,500,500,95,95,95,Americas
Bosnia and Herzegovina,No data,Nodata,Nodata,,,,,,,Europe
Botswana,12 400,13000[10000–14000],95[77–95],13000,10000,14000,95,77,95,Africa
Brazil,No data,Nodata,Nodata,,,,,,,Americas
Brunei Darussalam,0,Nodata,,,,,,,,Western Pacific
Bulgaria,No data,Nodata,Nodata,,,,,,,Europe
Burkina Faso,4700,4900[3600–6100],95[71–95],4900,3600,6100,95,71,95,Africa
Burundi,4000,5000[3800–6000],80[61–95],5000,3800,6000,80,61,95,Africa
Cabo Verde,No data,Nodata,Nodata,,,,,,,Africa
Cambodia,620,730[600–850],85[71–95],730,600,850,85,71,95,Western Pacific
Cameroon,21 700,27000[21000–32000],80[61–94],27000,21000,32000,80,61,94,Africa
Canada,No data,Nodata,Nodata,,,,,,,Americas
Central African Republic,3200,4500[3300–5800],71[52–91],4500,3300,5800,71,52,91,Africa
Chad,5600,10000[7200–13000],56[40–72],10000,7200,13000,56,40,72,Africa
Chile,370,500[500–500],95[95–95],500,500,500,95,95,95,Americas
China,No data,Nodata,Nodata,,,,,,,Western Pacific
Colombia,490,2300[1900–2700],21[17–25],2300,1900,2700,21,17,25,Americas
Comoros,0,Nodata,Nodata,,,,,,,Africa
Congo,1000,4100[2800–5800],25[17–36],4100,2800,5800,25,17,36,Americas
Costa Rica,40,Nodata,Nodata,,,,,,,Americas
Côte d'Ivoire,16 500,18000[13000–24000],90[65–95],18000,13000,24000,90,65,95,Africa
Croatia,No data,Nodata,Nodata,,,,,,,Europe
Cuba,180,200[200–200],95[86–95],200,200,200,95,86,95,Americas
Cyprus,No data,Nodata,Nodata,,,,,,,Europe
Czechia,10,Nodata,Nodata,,,,,,,Europe
Democratic People's Republic of Korea,No data,Nodata,,,,,,,,Western Pacific
Democratic Republic of the Congo,11 400,26000[20000–31000],44[33–52],26000,20000,31000,44,33,52,Africa
Denmark,No data,Nodata,Nodata,,,,,,,Europe
Djibouti,60,500[200–500],30[22–39],500,200,500,30,22,39,Eastern Mediterranean
Dominican Republic,770,910[690–1200],84[64–95],910,690,1200,84,64,95,Americas
Ecuador,370,500[500–620],95[68–95],500,500,620,95,68,95,Americas
Egypt,60,500[500–500],16[15–18],500,500,500,16,15,18,Eastern Mediterranean
El Salvador,110,500[500–500],40[33–46],500,500,500,40,33,46,Americas
Equatorial Guinea,1300,2600[1800–3500],50[35–68],2600,1800,3500,50,35,68,Africa
Eritrea,230,500[500–690],48[34–69],500,500,690,48,34,69,Africa
Estonia,No data,Nodata,Nodata,,,,,,,Europe
Eswatini,8600,11000[9000–12000],79[66–89],11000,9000,12000,79,66,89,Africa
Ethiopia,18 400,20000[14000–28000],92[63–95],20000,14000,28000,92,63,95,Africa
Fiji,No data,Nodata,Nodata,,,,,,,Western Pacific
Finland,No data,Nodata,Nodata,,,,,,,Europe
France,No data,1200[1100–1300],Nodata,1200,1100,1300,,,,Europe
Gabon,1900,2700[1900–3600],72[52–95],2700,1900,3600,72,52,95,Africa
Gambia,700,1000[820–1300],68[54–86],1000,820,1300,68,54,86,Africa
Georgia,No data,Nodata,Nodata,,,,,,,Europe
Germany,No data,500[500–500],Nodata,500,500,500,,,,Europe
Ghana,13 000,16000[12000–21000],79[58–95],16000,12000,21000,79,58,95,Africa
Greece,No data,Nodata,Nodata,,,,,,,Europe
Guatemala,270,790[720–870],34[31–38],790,720,870,34,31,38,Americas
Guinea,3300,5100[3800–6600],65[48–84],5100,3800,6600,65,48,84,Africa
Guinea-Bissau,1000,2100[1700–2500],48[38–58],2100,1700,2500,48,38,58,Africa
Guyana,160,200[200–500],89[67–95],200,200,500,89,67,95,Americas
Haiti,4900,5900[4700–6800],83[67–95],5900,4700,6800,83,67,95,Americas
Honduras,200,500[500–500],59[48–72],500,500,500,59,48,72,Americas
Hungary,No data,Nodata,Nodata,,,,,,,Europe
Iceland,No data,Nodata,Nodata,,,,,,,Europe
India,13 200,Nodata,Nodata,,,,,,,South-East Asia
Indonesia,1800,12000[10000–14000],15[13–18],12000,10000,14000,15,13,18,South-East Asia
Iran (Islamic Republic of),310,500[200–840],81[41–95],500,200,840,81,41,95,Eastern Mediterranean
Ireland,No data,100[100–100],Nodata,100,100,100,,,,Europe
Israel,No data,100[100–100],Nodata,100,100,100,,,,Europe
Italy,No data,500[500–500],Nodata,500,500,500,,,,Europe
Jamaica,400,500[500–500],95[95–95],500,500,500,95,95,95,Americas
Japan,No data,Nodata,Nodata,,,,,,,Western Pacific
Jordan,No data,Nodata,Nodata,,,,,,,Eastern Mediterranean
Kazakhstan,360,610[550–660],59[54–65],610,550,660,59,54,65,Europe
Kenya,57 500,63000[49000–80000],91[70–95],63000,49000,80000,91,70,95,Africa
Kuwait,0,Nodata,Nodata,,,,,,,Eastern Mediterranean
Kyrgyzstan,130,200[200–500],88[69–95],200,200,500,88,69,95,Europe
Lao People's Democratic Republic,90,500[500–500],35[31–41],500,500,500,35,31,41,Western Pacific
Latvia,No data,Nodata,Nodata,,,,,,,Europe
Lebanon,No data,Nodata,Nodata,,,,,,,Eastern Mediterranean
Lesotho,8200,11000[8200–12000],77[59–89],11000,8200,12000,77,59,89,Africa
Liberia,1800,2000[1500–2300],93[70–95],2000,1500,2300,93,70,95,Africa
Libya,60,200[100–200],63[56–69],200,100,200,63,56,69,Eastern Mediterranean
Lithuania,No data,Nodata,Nodata,,,,,,,Europe
Luxembourg,No data,Nodata,Nodata,,,,,,,Europe
Madagascar,280,1100[820–1600],25[19–36],1100,820,1600,25,19,36,Africa
Malawi,47 100,45000[34000–53000],95[80–95],45000,34000,53000,95,80,95,Africa
Malaysia,260,500[500–500],95[86–95],500,500,500,95,86,95,Western Pacific
Maldives,No data,Nodata,,,,,,,,South-East Asia
Mali,2400,10000[8300–13000],24[19–31],10000,8300,13000,24,19,31,Africa
Malta,No data,Nodata,Nodata,,,,,,,Europe
Mauritania,50,200[200–200],38[31–47],200,200,200,38,31,47,Africa
