state,date,precipitation
BA,31/01/1998,63.6
BA,28/02/1998,55.6
BA,31/03/1998,117.2
BA,30/04/1998,206.0
BA,31/05/1998,250.9
BA,30/06/1998,358.3
BA,31/07/1998,306.5
BA,31/08/1998,155.4
BA,30/09/1998,63.9
BA,31/10/1998,111.8
BA,30/11/1998,65.3
BA,31/12/1998,34.5
BA,31/01/1999,99.3
BA,28/02/1999,102.9
BA,31/03/1999,313.9
BA,30/04/1999,376.6
BA,31/05/1999,376.9
BA,30/06/1999,185.0
BA,31/07/1999,225.0
BA,31/08/1999,323.5
BA,30/09/1999,141.2
BA,31/10/1999,163.9
BA,30/11/1999,275.5
BA,31/12/1999,94.2
BA,31/01/2000,29.5
BA,29/02/2000,85.3
BA,31/03/2000,191.9
BA,30/04/2000,365.4
BA,31/05/2000,248.5
BA,30/06/2000,310.5
BA,31/07/2000,201.1
BA,31/08/2000,136.2
BA,30/09/2000,161.6
BA,31/10/2000,15.9
BA,30/11/2000,74.3
BA,31/12/2000,88.0
BA,31/01/2001,95.2
BA,28/02/2001,28.6
BA,31/03/2001,264.1
BA,30/04/2001,103.5
BA,31/05/2001,199.2
BA,30/06/2001,195.9
BA,31/07/2001,220.3
BA,31/08/2001,149.7
BA,30/09/2001,190.8
BA,31/10/2001,202.3
BA,30/11/2001,30.3
BA,31/12/2001,97.4
BA,31/01/2002,252.4
BA,28/02/2002,102.8
BA,31/03/2002,98.7
BA,30/04/2002,69.3
BA,31/05/2002,351.6
BA,30/06/2002,209.2
BA,31/07/2002,254.8
BA,31/08/2002,162.8
BA,30/09/2002,258.8
BA,31/10/2002,16.0
BA,30/11/2002,25.2
BA,31/12/2002,22.7
BA,31/01/2003,26.7
BA,28/02/2003,97.3
BA,31/03/2003,206.3
BA,30/04/2003,186.8
BA,31/05/2003,550.5
BA,30/06/2003,237.5
BA,31/07/2003,186.5
BA,31/08/2003,136.7
BA,30/09/2003,168.7
BA,31/10/2003,69.2
BA,30/11/2003,132.8
BA,31/12/2003,15.2
BA,31/01/2004,319.4
BA,29/02/2004,165.3
BA,31/03/2004,121.9
BA,30/04/2004,278.4
BA,31/05/2004,159.5
BA,30/06/2004,326.3
BA,31/07/2004,218.4
BA,31/08/2004,129.5
BA,30/09/2004,40.5
BA,31/10/2004,82.0
BA,30/11/2004,167.6
BA,31/12/2004,10.9
BA,31/01/2005,42.9
BA,28/02/2005,349.4
BA,31/03/2005,349.4
BA,30/04/2005,415.0
BA,31/05/2005,198.2
BA,30/06/2005,421.1
BA,31/07/2005,204.1
BA,31/08/2005,117.1
BA,30/09/2005,50.6
BA,31/10/2005,32.9
BA,30/11/2005,72.8
BA,31/12/2005,75.5
BA,31/01/2006,40.1
BA,28/02/2006,7.1
BA,31/03/2006,35.9
BA,30/04/2006,587.4
BA,31/05/2006,396.5
BA,30/06/2006,401.4
BA,31/07/2006,91.7
BA,31/08/2006,122.7
BA,30/09/2006,126.9
BA,31/10/2006,258.9
BA,30/11/2006,220.0
BA,31/12/2006,30.3
BA,31/01/2007,20.0
BA,28/02/2007,282.6
BA,31/03/2007,86.8
BA,30/04/2007,143.2
BA,31/05/2007,211.2
BA,30/06/2007,134.0
BA,31/07/2007,130.4
BA,31/08/2007,109.0
BA,30/09/2007,85.8
